new,charcount,wordcount,sentencecount,number of standby,standby,roadblock,roadblock number,change in charcount,change in wordcount,change in sentencecount,chars produced,words produced,sentences produced,chars deleted,words deleted,sentences deleted,time (s),min time (s),5rSUMMARY wordcount,5rSUMMARY sentencecount,5rSUMMARY standby,5rSUMMARY number of standby,5rSUMMARY roadblock number,5rSUMMARY words produced,5rSUMMARY sentences produced,5rSUMMARY words deleted,5rSUMMARY sentences deleted,5rSUMMARY change in wordcount,5rSUMMARY change in sentencecount
True,0,0,0,0,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.470911979675293,1.064348220825195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,12,1,0,0,False,False,0,12.0,1.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,11.76014518737793,11.760123252868652,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
False,30,3,0,0,False,False,0,18.0,2.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,17.094258308410645,17.094223260879517,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0
False,62,9,0,0,False,False,0,32.0,6.0,0.0,32.0,6.0,0.0,0.0,0.0,0.0,22.37337231636048,22.373311042785645,2.6,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0
False,99,14,0,0,False,False,0,37.0,5.0,0.0,37.0,5.0,0.0,0.0,0.0,0.0,27.678835153579712,27.678810119628903,4.5,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0
False,105,15,1,0,False,False,0,6.0,1.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,33.00177311897278,33.00172805786133,6.0,0.1428571428571428,0.0,0.0,0.0,15.0,1.0,0.0,0.0,15.0,1.0
True,105,15,1,0,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.28952503204346,33.00172805786133,7.125,0.25,0.0,0.0,0.0,15.0,1.0,0.0,0.0,15.0,1.0
False,144,21,1,0,False,False,0,39.0,6.0,0.0,39.0,6.0,0.0,0.0,0.0,0.0,43.55217719078064,43.55214905738831,8.666666666666666,0.3333333333333333,0.0,0.0,0.0,21.0,1.0,0.0,0.0,21.0,1.0
False,172,26,1,0,False,False,0,28.0,5.0,0.0,28.0,5.0,0.0,0.0,0.0,0.0,48.79603719711304,48.79601120948792,10.4,0.4,0.0,0.0,0.0,26.0,1.0,0.0,0.0,26.0,1.0
False,204,29,1,0,False,False,0,32.0,3.0,0.0,32.0,3.0,0.0,0.0,0.0,0.0,54.11770820617676,54.11765217781067,12.090909090909092,0.4545454545454545,0.0,0.0,0.0,29.0,1.0,0.0,0.0,29.0,1.0
False,243,34,1,0,False,False,0,39.0,5.0,0.0,39.0,5.0,0.0,0.0,0.0,0.0,59.42299008369446,59.42295718193054,13.916666666666666,0.5,0.0,0.0,0.0,34.0,1.0,0.0,0.0,34.0,1.0
False,287,41,1,0,False,False,0,44.0,7.0,0.0,44.0,7.0,0.0,0.0,0.0,0.0,64.74307513237,64.74303913116455,16.0,0.5384615384615384,0.0,0.0,0.0,41.0,1.0,0.0,0.0,41.0,1.0
